,x,y,z,line,p3_before,p3_after,p0_before,p0_after,p4_before,p4_after,p7_before,p7_after,speed
110,11.500000000000002,24.375,-10.735000000000003,181,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
111,11.500000000000002,18.375,-10.735000000000003,182,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
112,11.500000000000002,18.375,-10.735000000000003,183,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,11.500000000000002,18.375,-10.735000000000003,185,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114,11.500000000000002,18.375,-10.735000000000003,187,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,11.500000000000002,18.375,-10.735000000000003,188,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
116,11.500000000000002,18.375,-10.735000000000003,190,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
117,11.500000000000002,14.375,-10.735000000000003,192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
118,11.500000000000002,14.375,-10.0,193,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
119,11.500000000000002,14.375,-10.0,194,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
120,10.9,14.375,-10.0,195,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
121,8.5,14.375,-10.0,197,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
122,8.5,22.375,-10.0,198,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
123,8.5,24.375,-10.0,200,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
124,8.5,24.375,-6.985,201,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
125,8.5,18.375,-6.985,202,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
126,8.5,18.375,-6.985,203,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
127,8.5,18.375,-6.985,205,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
128,8.5,18.375,-6.985,207,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,8.5,18.375,-6.985,208,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130,8.5,18.375,-6.985,210,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,8.5,14.375,-6.985,212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
132,8.5,14.375,-7.512625,213,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
133,8.5,14.375,-9.623125,215,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
134,8.5,22.375,-9.623125,216,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
135,8.5,24.375,-9.623125,218,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
136,8.5,24.375,-6.985,219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
137,8.5,18.375,-6.985,220,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
138,8.5,18.375,-6.985,221,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
139,8.5,18.375,-6.985,223,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140,8.5,18.375,-6.985,225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,8.5,18.375,-6.985,226,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
142,8.5,18.375,-6.985,228,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
143,8.5,14.375,-6.985,230,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
144,8.5,14.375,-7.437250000000001,231,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
145,8.5,14.375,-9.24625,233,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
146,8.5,22.375,-9.24625,234,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
147,8.5,24.375,-9.24625,236,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
148,8.5,24.375,-6.985,237,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
149,8.5,18.375,-6.985,238,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
150,8.5,18.375,-6.985,239,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
151,8.5,18.375,-6.985,241,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
152,8.5,18.375,-6.985,243,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,8.5,18.375,-6.985,244,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154,8.5,18.375,-6.985,246,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
155,8.5,14.375,-6.985,248,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
156,8.5,14.375,10.0,249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
